date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:42:53	13184/13184	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Apr%202021%2007:46:39%20GMT	http://nghienhoc.xyz/robots.txt		(from )
14:42:54	175115/175115	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Apr%202021%2007:46:40%20GMT	http://nghienhoc.xyz/	D:/VietnixWeb/nghienhoc.xyz/index.html	(from )
14:42:54	1791/1791	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2003:59:45%20GMT	http://nghienhoc.xyz/css/styles.css	D:/VietnixWeb/nghienhoc.xyz/css/styles.css	(from http://nghienhoc.xyz/)
14:42:55	136596/136596	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2003:59:45%20GMT	http://nghienhoc.xyz/css/flatsome.css	D:/VietnixWeb/nghienhoc.xyz/css/flatsome.css	(from http://nghienhoc.xyz/)
14:42:55	28821/28821	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Aug%202020%2003:59:45%20GMT	http://nghienhoc.xyz/css/index.css	D:/VietnixWeb/nghienhoc.xyz/css/index.css	(from http://nghienhoc.xyz/)
14:42:57	175124/175124	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Apr%202021%2007:46:42%20GMT	http://nghienhoc.xyz/images/ajax-loader.gif	D:/VietnixWeb/nghienhoc.xyz/images/ajax-loader.gif	(from http://nghienhoc.xyz/css/styles.css)
14:42:57	175126/175126	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Apr%202021%2007:46:43%20GMT	http://nghienhoc.xyz/img/shadow@2x.png	D:/VietnixWeb/nghienhoc.xyz/img/shadow@2x.png	(from http://nghienhoc.xyz/css/flatsome.css)
14:42:58	175135/175135	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Apr%202021%2007:46:44%20GMT	http://nghienhoc.xyz/img/underline.png	D:/VietnixWeb/nghienhoc.xyz/img/underline.png	(from http://nghienhoc.xyz/css/flatsome.css)
14:42:59	175088/175088	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Apr%202021%2007:46:45%20GMT	http://nghienhoc.xyz/wp-content/uploads/2018/04/chu-chu.png	D:/VietnixWeb/nghienhoc.xyz/wp-content/uploads/2018/04/chu-chu.png	(from http://nghienhoc.xyz/css/index.css)
14:42:59	96894/96894	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2013%20Aug%202020%2003:59:45%20GMT	http://nghienhoc.xyz/css/jquery.js	D:/VietnixWeb/nghienhoc.xyz/css/jquery.js	(from http://nghienhoc.xyz/)
